State Name,State Code,Dist Name,Year,Rice Area (1000 ha),Rice Production (1000 tons),Actual Yield (Kg/ha),Predicted Yield (Kg/ha),Residual (Kg/ha),Absolute Error (Kg/ha),Percentage Error (%)
Madhya Pradesh,6,Rajgarh,2012,0.42,0.34,809.52,0.0,809.52,809.52,100.0
Kerala,19,Kollam,2017,5.01,13.15,2623.75,1920.36,703.39,703.39,26.81
Kerala,19,Thiruvananthapuram,2012,1.82,4.1,2252.75,0.0,2252.75,2252.75,100.0
Uttar Pradesh,12,Buland Shahar,2012,21.19,58.04,2738.59,2624.01,114.58,114.58,4.18
Rajasthan,10,Pali,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uttar Pradesh,12,Faizabad,2013,219.18,586.77,2677.11,2624.18,52.93,52.93,1.98
Haryana,4,Ambala,2017,170.6,681.0,3991.79,3842.97,148.82,148.82,3.73
Madhya Pradesh,6,Chhindwara,2015,31.0,54.0,1741.94,1750.58,-8.64,8.64,0.5
Punjab,9,Kapurthala,2013,117.0,451.0,3854.7,3714.49,140.21,140.21,3.64
Telangana,20,Khammam,2017,161.32,512.4,3176.26,3045.4,130.86,130.86,4.12
Karnataka,5,Gulbarga / Kalaburagi,2016,96.88,322.59,3329.87,3039.96,289.91,289.91,8.71
Himachal Pradesh,18,Sirmaur,2013,5.48,6.49,1184.31,1018.27,166.04,166.04,14.02
Madhya Pradesh,6,Ujjain,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kerala,19,Eranakulam,2011,7.98,17.2,2154.6,2144.92,9.68,9.68,0.45
Bihar,2,Shahabad (now part of Bhojpur district),2013,493.8,1690.29,3423.03,3422.97,0.06,0.06,0.0
Uttar Pradesh,12,Pratapgarh,2010,97.44,195.82,2009.65,1986.37,23.28,23.28,1.16
Uttar Pradesh,12,Banda,2013,66.51,120.09,1805.59,1749.01,56.58,56.58,3.13
Uttar Pradesh,12,Jaunpur,2012,147.19,343.97,2336.91,2310.89,26.02,26.02,1.11
Rajasthan,10,Banswara,2011,28.93,37.54,1297.65,1202.36,95.29,95.29,7.34
Karnataka,5,Kolar,2017,1.69,5.46,3233.55,1725.47,1508.08,1508.08,46.64
West Bengal,13,Murshidabad,2012,352.39,973.7,2763.13,2690.75,72.38,72.38,2.62
Karnataka,5,Raichur,2016,169.29,631.06,3727.77,3674.98,52.79,52.79,1.42
Andhra Pradesh,1,Kadapa YSR,2015,40.26,123.13,3058.37,3049.34,9.03,9.03,0.3
Rajasthan,10,Ajmer,2014,0.01,0.02,2000.0,0.0,2000.0,2000.0,100.0
Madhya Pradesh,6,Khandwa / East Nimar,2010,8.6,11.7,1360.47,1052.05,308.42,308.42,22.67
Himachal Pradesh,18,Kangra,2012,38.92,60.43,1552.67,1475.68,76.99,76.99,4.96
Punjab,9,Ludhiana,2017,270.9,1283.25,4736.99,4543.65,193.34,193.34,4.08
Karnataka,5,Mysore,2010,143.53,441.19,3073.85,2911.78,162.07,162.07,5.27
Assam,17,Goalpara,2011,368.67,689.19,1869.4,1856.38,13.02,13.02,0.7
Andhra Pradesh,1,Ananthapur,2017,30.91,86.36,2793.52,2685.51,108.01,108.01,3.87
Maharashtra,7,Satara,2011,50.5,83.0,1643.56,1593.14,50.42,50.42,3.07
Andhra Pradesh,1,West Godavari,2010,456.52,1490.32,3264.52,3274.65,-10.13,10.13,0.31
Orissa,8,Bolangir,2015,323.73,511.39,1579.68,1538.95,40.73,40.73,2.58
Uttar Pradesh,12,Rampur,2011,144.99,316.84,2185.25,2126.9,58.35,58.35,2.67
West Bengal,13,West Dinajpur,2014,399.61,1120.63,2804.31,2812.06,-7.75,7.75,0.28
West Bengal,13,Bankura,2016,376.63,1058.24,2809.78,2807.98,1.8,1.8,0.06
Uttar Pradesh,12,Buland Shahar,2016,93.81,236.88,2525.21,2453.97,71.24,71.24,2.82
Uttar Pradesh,12,Azamgarh,2011,298.23,678.51,2275.12,2216.41,58.71,58.71,2.58
Assam,17,Karbi Anglong,2010,126.1,237.35,1882.24,1827.77,54.47,54.47,2.89
Gujarat,3,Dangs,2011,18.0,30.7,1705.56,1509.23,196.33,196.33,11.51
Telangana,20,Mahabubnagar,2012,142.03,380.5,2679.01,2648.04,30.97,30.97,1.16
West Bengal,13,Hooghly,2015,277.62,871.28,3138.39,3104.23,34.16,34.16,1.09
Madhya Pradesh,6,Sidhi,2016,118.0,348.0,2949.15,2898.01,51.14,51.14,1.73
Uttarakhand,16,Dehradun,2017,9.29,19.56,2105.25,1777.98,327.27,327.27,15.55
Karnataka,5,Raichur,2013,254.24,836.0,3288.23,3142.21,146.02,146.02,4.44
Maharashtra,7,Jalgaon,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Punjab,9,Ferozpur,2011,544.12,2047.84,3763.58,3709.71,53.87,53.87,1.43
Kerala,19,Malappuram,2010,8.95,21.07,2354.19,1973.77,380.42,380.42,16.16
Punjab,9,Roopnagar / Ropar,2012,53.5,203.5,3803.74,3722.92,80.82,80.82,2.12
Karnataka,5,Tumkur,2013,13.04,38.49,2951.69,2650.27,301.42,301.42,10.21
Orissa,8,Bolangir,2013,340.9,1071.26,3142.45,3155.81,-13.36,13.36,0.43
Uttar Pradesh,12,Etah,2014,37.39,86.02,2300.62,2233.64,66.98,66.98,2.91
Madhya Pradesh,6,Shahdol,2014,269.0,510.67,1898.4,1875.34,23.06,23.06,1.21
Rajasthan,10,Dungarpur,2015,16.36,11.02,673.59,841.64,-168.05,168.05,24.95
Kerala,19,Palakkad,2014,82.91,236.4,2851.28,2697.96,153.32,153.32,5.38
Assam,17,North Cachar Hil / Dima hasao,2011,15.57,36.09,2317.92,2087.75,230.17,230.17,9.93
Assam,17,Sibsagar,2012,300.09,703.63,2344.73,2272.27,72.46,72.46,3.09
Karnataka,5,Raichur,2012,228.59,735.3,3216.68,3096.49,120.19,120.19,3.74
Punjab,9,Amritsar,2017,362.0,1436.0,3966.85,3934.93,31.92,31.92,0.8
Rajasthan,10,Sirohi,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madhya Pradesh,6,Jabalpur,2011,157.6,204.5,1297.59,1333.21,-35.62,35.62,2.75
Madhya Pradesh,6,Chhindwara,2013,13.81,28.05,2031.14,1869.56,161.58,161.58,7.96
Himachal Pradesh,18,Kangra,2016,36.59,56.24,1537.13,1648.79,-111.66,111.66,7.26
Telangana,20,Hyderabad,2011,43.67,103.1,2360.89,2331.43,29.46,29.46,1.25
Madhya Pradesh,6,Jabalpur,2010,151.1,155.0,1025.81,1149.37,-123.56,123.56,12.05
Tamil Nadu,11,Salem,2011,83.06,380.75,4584.04,4269.59,314.45,314.45,6.86
Kerala,19,Kozhikode,2012,10.14,23.52,2318.58,2013.17,305.41,305.41,13.17
Bihar,2,Saharsa,2017,168.85,279.7,1656.48,1614.16,42.32,42.32,2.55
Rajasthan,10,Jaipur,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madhya Pradesh,6,Chhatarpur,2014,10.0,8.67,867.0,535.13,331.87,331.87,38.28
Assam,17,Sibsagar,2011,297.88,613.36,2059.08,2045.97,13.11,13.11,0.64
West Bengal,13,Burdwan,2015,578.47,1949.43,3369.98,3344.6,25.38,25.38,0.75
West Bengal,13,Birbhum,2013,384.61,1274.1,3312.71,3227.74,84.97,84.97,2.57
Rajasthan,10,Tonk,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chhattisgarh,14,Bilaspur,2011,749.08,1557.35,2079.01,2035.22,43.79,43.79,2.11
Telangana,20,Adilabad,2012,70.75,187.27,2646.93,2527.3,119.63,119.63,4.52
Assam,17,Nagaon,2011,282.09,530.2,1879.54,1876.92,2.62,2.62,0.14
Karnataka,5,Uttara Kannada,2014,68.51,152.7,2228.87,2038.05,190.82,190.82,8.56
Uttar Pradesh,12,Jaunpur,2017,157.28,362.68,2306.0,2236.74,69.26,69.26,3.0
Assam,17,Karbi Anglong,2011,121.57,174.4,1434.56,1463.03,-28.47,28.47,1.98
Gujarat,3,Junagadh,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,1,East Godavari,2012,401.06,1101.91,2747.49,2816.83,-69.34,69.34,2.52
Uttar Pradesh,12,Budaun,2017,88.35,188.48,2133.41,2236.57,-103.16,103.16,4.84
Rajasthan,10,Bikaner,2011,0.03,0.06,2000.0,0.0,2000.0,2000.0,100.0
Rajasthan,10,Barmer,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bihar,2,Mungair,2014,153.82,386.55,2513.0,2507.51,5.49,5.49,0.22
Gujarat,3,Banaskantha,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Bengal,13,Cooch Behar,2013,273.13,727.97,2665.29,2638.07,27.22,27.22,1.02
Assam,17,Nagaon,2010,274.15,543.86,1983.8,1984.72,-0.92,0.92,0.05
Madhya Pradesh,6,Mandsaur,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karnataka,5,Kodagu / Coorg,2017,27.17,64.26,2364.95,2255.77,109.18,109.18,4.62
Madhya Pradesh,6,Chhindwara,2016,35.0,53.33,1523.71,1650.6,-126.89,126.89,8.33
Maharashtra,7,Nanded,2010,5.2,2.71,521.15,0.0,521.15,521.15,100.0
Gujarat,3,Dangs,2010,18.0,23.4,1300.0,1154.79,145.21,145.21,11.17
Madhya Pradesh,6,Narsinghpur,2011,12.0,21.5,1791.67,1424.13,367.54,367.54,20.51
Rajasthan,10,Churu,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,1,Srikakulam,2017,279.15,735.77,2635.76,2650.81,-15.05,15.05,0.57
West Bengal,13,Bankura,2017,384.61,1081.48,2811.87,2825.71,-13.84,13.84,0.49
Assam,17,Lakhimpur,2015,211.61,383.71,1813.29,1842.7,-29.41,29.41,1.62
Kerala,19,Thiruvananthapuram,2011,2.4,6.14,2558.33,1768.93,789.4,789.4,30.86
Assam,17,Sibsagar,2010,295.51,650.67,2201.85,2140.68,61.17,61.17,2.78
Orissa,8,Cuttack,2016,437.4,1254.27,2867.56,2865.83,1.73,1.73,0.06
Maharashtra,7,Nasik,2011,62.9,77.8,1236.88,1109.03,127.85,127.85,10.34
Karnataka,5,Bidar,2014,2.06,1.99,966.02,0.0,966.02,966.02,100.0
Himachal Pradesh,18,Lahul & Spiti,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madhya Pradesh,6,Satna,2016,120.0,393.33,3277.75,3257.82,19.93,19.93,0.61
Jharkhand,15,Santhal Paragana / Dumka,2017,351.0,726.35,2069.39,2033.11,36.28,36.28,1.75
Himachal Pradesh,18,Solan,2013,3.98,10.05,2525.13,1874.46,650.67,650.67,25.77
Madhya Pradesh,6,Panna,2017,58.4,140.2,2400.68,2365.2,35.48,35.48,1.48
Maharashtra,7,Nanded,2017,0.81,1.2,1485.15,0.0,1485.15,1485.15,100.0
Rajasthan,10,Ganganagar,2015,45.9,133.06,2898.91,2810.82,88.09,88.09,3.04
Uttar Pradesh,12,Mirzpur,2011,125.91,266.41,2115.88,2070.28,45.6,45.6,2.16
Maharashtra,7,Sangli,2015,22.6,43.4,1920.35,1696.14,224.21,224.21,11.68
Uttar Pradesh,12,Etawah,2017,101.35,295.3,2913.67,2719.88,193.79,193.79,6.65
Madhya Pradesh,6,Jabalpur,2013,188.69,364.36,1931.0,1943.83,-12.83,12.83,0.66
Uttarakhand,16,Tehri Garhwal,2015,11.63,19.88,1709.37,1480.53,228.84,228.84,13.39
Telangana,20,Khammam,2010,218.25,704.07,3225.98,3155.98,70.0,70.0,2.17
Uttar Pradesh,12,Bijnor,2010,59.18,132.72,2242.65,2268.73,-26.08,26.08,1.16
Madhya Pradesh,6,Sehore,2012,17.98,45.87,2551.17,2284.34,266.83,266.83,10.46
Rajasthan,10,Bhilwara,2015,0.57,1.14,2000.0,0.0,2000.0,2000.0,100.0
Assam,17,Kamrup,2016,442.4,949.9,2147.15,2074.89,72.26,72.26,3.37
Uttar Pradesh,12,Bijnor,2014,54.81,143.38,2615.95,2492.67,123.28,123.28,4.71
Haryana,4,Gurgaon,2016,62.1,166.0,2673.11,2698.58,-25.47,25.47,0.95
Maharashtra,7,Ratnagiri,2016,139.34,445.3,3195.78,3044.42,151.36,151.36,4.74
Punjab,9,Sangrur,2010,383.56,1677.92,4374.6,4205.47,169.13,169.13,3.87
Bihar,2,Darbhanga,2010,346.31,223.43,645.17,779.33,-134.16,134.16,20.8
Madhya Pradesh,6,Sehore,2014,46.0,147.33,3202.83,3042.09,160.74,160.74,5.02
Uttar Pradesh,12,Gorakhpur,2010,319.9,672.53,2102.31,2101.2,1.11,1.11,0.05
Rajasthan,10,Udaipur,2017,5.51,6.68,1210.68,1027.03,183.65,183.65,15.17
Uttarakhand,16,Garhwal,2012,15.53,18.21,1172.57,1034.03,138.54,138.54,11.82
Punjab,9,Amritsar,2010,358.0,1003.0,2801.68,2748.08,53.6,53.6,1.91
Uttar Pradesh,12,Fatehpur,2011,79.78,186.54,2338.18,2384.24,-46.06,46.06,1.97
Karnataka,5,Mysore,2015,107.4,366.09,3408.66,3295.0,113.66,113.66,3.33
Rajasthan,10,Swami Madhopur,2017,2.87,5.1,1773.14,1441.01,332.13,332.13,18.73
Andhra Pradesh,1,Kurnool,2017,109.67,391.52,3570.06,3444.48,125.58,125.58,3.52
Rajasthan,10,Ajmer,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bihar,2,Saran,2015,243.95,288.01,1180.61,1133.88,46.73,46.73,3.96
West Bengal,13,Cooch Behar,2011,273.28,600.69,2198.08,2185.33,12.75,12.75,0.58
Rajasthan,10,Jhunjhunu,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bihar,2,Bhagalpur,2012,131.5,358.37,2725.25,2699.87,25.38,25.38,0.93
Madhya Pradesh,6,Hoshangabad,2017,136.8,312.65,2285.45,2275.8,9.65,9.65,0.42
Uttar Pradesh,12,Deoria,2014,251.34,520.68,2071.62,2016.0,55.62,55.62,2.68
Maharashtra,7,Jalgaon,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Bengal,13,Nadia,2011,252.14,744.49,2952.68,2839.84,112.84,112.84,3.82
Madhya Pradesh,6,Raisen,2014,137.0,342.67,2501.24,2465.63,35.61,35.61,1.42
Karnataka,5,Chickmagalur,2015,33.04,88.32,2673.12,2651.54,21.58,21.58,0.81
Maharashtra,7,Yeotmal,2011,0.1,0.1,1000.0,0.0,1000.0,1000.0,100.0
Karnataka,5,Bellary,2017,101.93,388.34,3809.74,3716.31,93.43,93.43,2.45
Uttarakhand,16,Dehradun,2016,10.19,20.74,2036.13,1727.22,308.91,308.91,15.17
Maharashtra,7,Ratnagiri,2017,139.25,430.7,3093.02,2995.04,97.98,97.98,3.17
West Bengal,13,Jalpaiguri,2013,229.65,523.15,2278.03,2216.58,61.45,61.45,2.7
Madhya Pradesh,6,Indore,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karnataka,5,Dakshina Kannada,2011,110.5,268.07,2425.97,2399.74,26.23,26.23,1.08
Bihar,2,Saharsa,2012,198.09,345.23,1742.79,1734.36,8.43,8.43,0.48
Uttar Pradesh,12,Muzaffarnagar,2011,35.44,83.2,2347.63,2340.9,6.73,6.73,0.29
Gujarat,3,Banaskantha,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orissa,8,Sundargarh,2014,195.83,496.44,2535.06,2522.85,12.21,12.21,0.48
Madhya Pradesh,6,Seoni / Shivani,2014,139.0,199.33,1434.03,1509.83,-75.8,75.8,5.29
Gujarat,3,Dangs,2012,13.8,21.8,1579.71,1462.13,117.58,117.58,7.44
Himachal Pradesh,18,Mandi,2015,18.95,32.84,1732.98,1494.52,238.46,238.46,13.76
Maharashtra,7,Jalgaon,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bihar,2,Gaya,2012,450.17,1499.42,3330.79,3284.89,45.9,45.9,1.38
Madhya Pradesh,6,Damoh,2015,73.0,82.67,1132.47,1146.26,-13.79,13.79,1.22
Andhra Pradesh,1,Visakhapatnam,2013,163.79,330.13,2015.54,1979.09,36.45,36.45,1.81
Rajasthan,10,Tonk,2017,0.0,0.0,2500.0,0.0,2500.0,2500.0,100.0
Gujarat,3,Sabarkantha,2012,3.7,8.2,2216.22,1584.05,632.17,632.17,28.52
Maharashtra,7,Kolhapur,2011,104.9,280.88,2677.6,2594.6,83.0,83.0,3.1
Madhya Pradesh,6,Sehore,2013,20.18,61.92,3068.38,2848.18,220.2,220.2,7.18
Uttar Pradesh,12,Mathura,2010,42.27,90.07,2130.83,2029.34,101.49,101.49,4.76
Rajasthan,10,Udaipur,2012,5.14,5.64,1097.17,1040.64,56.53,56.53,5.15
Andhra Pradesh,1,Kadapa YSR,2011,53.9,158.66,2943.6,2870.43,73.17,73.17,2.49
Karnataka,5,Kodagu / Coorg,2012,31.37,77.78,2479.44,2309.06,170.38,170.38,6.87
Uttar Pradesh,12,Buland Shahar,2011,99.69,239.59,2403.27,2335.86,67.41,67.41,2.8
Andhra Pradesh,1,Kurnool,2013,147.06,543.56,3696.13,3629.61,66.52,66.52,1.8
Uttar Pradesh,12,Sultanpur,2015,151.91,309.77,2039.13,2081.29,-42.16,42.16,2.07
Telangana,20,Mahabubnagar,2016,143.31,386.46,2696.59,2678.97,17.62,17.62,0.65
Maharashtra,7,Pune,2014,82.1,136.1,1657.73,1660.91,-3.18,3.18,0.19
Himachal Pradesh,18,Mandi,2016,18.75,22.6,1205.34,1058.02,147.32,147.32,12.22
Bihar,2,Mungair,2010,128.49,57.92,450.77,584.9,-134.13,134.13,29.76
Uttar Pradesh,12,Gorakhpur,2017,319.73,805.12,2518.15,2436.0,82.15,82.15,3.26
Madhya Pradesh,6,Bhind,2015,6.0,27.33,4555.0,3664.19,890.81,890.81,19.56
West Bengal,13,Jalpaiguri,2014,230.54,561.85,2437.1,2415.49,21.61,21.61,0.89
Uttar Pradesh,12,Rampur,2017,138.67,328.51,2369.0,2287.87,81.13,81.13,3.42
Gujarat,3,Surendranagar,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gujarat,3,Jamnagar,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karnataka,5,Mysore,2011,136.45,431.65,3163.43,3005.02,158.41,158.41,5.01
Jharkhand,15,Ranchi,2017,556.33,1124.5,2021.3,2315.39,-294.09,294.09,14.55
Uttar Pradesh,12,Shahjahanpur,2012,161.54,447.63,2771.02,2729.41,41.61,41.61,1.5
Rajasthan,10,Bharatpur,2015,2.61,5.98,2291.19,1617.14,674.05,674.05,29.42
Kerala,19,Alappuzha,2013,37.4,106.87,2857.49,2746.41,111.08,111.08,3.89
Uttar Pradesh,12,Ghazipur,2016,147.67,317.05,2147.0,2125.51,21.49,21.49,1.0
Rajasthan,10,Bhilwara,2011,0.37,0.69,1864.86,0.0,1864.86,1864.86,100.0
West Bengal,13,Purulia,2015,272.13,500.44,1838.97,1883.39,-44.42,44.42,2.42
Chhattisgarh,14,Raipur,2012,993.68,1974.69,1987.25,1930.42,56.83,56.83,2.86
Telangana,20,Warangal,2017,269.29,783.31,2908.75,3036.72,-127.97,127.97,4.4
Uttar Pradesh,12,Jhansi,2015,10.29,17.14,1665.69,1487.0,178.69,178.69,10.73
Rajasthan,10,Pali,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karnataka,5,Bijapur / Vijayapura,2016,0.03,0.09,2774.19,0.0,2774.19,2774.19,100.0
Rajasthan,10,Churu,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jharkhand,15,Singhbhum,2017,386.91,669.97,1731.62,1669.99,61.63,61.63,3.56
Orissa,8,Balasore,2015,383.52,783.5,2042.92,2009.7,33.22,33.22,1.63
Assam,17,Sibsagar,2014,313.37,658.9,2102.63,2054.56,48.07,48.07,2.29
Madhya Pradesh,6,Narsinghpur,2014,18.0,25.33,1407.22,1184.73,222.49,222.49,15.81
Gujarat,3,Sabarkantha,2016,7.67,21.14,2756.13,2439.51,316.62,316.62,11.49
Rajasthan,10,Jodhpur,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orissa,8,Dhenkanal,2010,176.24,178.0,1009.99,1145.49,-135.5,135.5,13.42
Gujarat,3,Banaskantha,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gujarat,3,Valsad,2013,150.35,348.71,2319.32,2284.66,34.66,34.66,1.49
Madhya Pradesh,6,Gwalior,2011,34.7,111.2,3204.61,2974.85,229.76,229.76,7.17
Maharashtra,7,Bhandara,2013,396.1,649.59,1639.96,1605.68,34.28,34.28,2.09
Orissa,8,Puri,2013,334.95,364.58,1088.46,1147.73,-59.27,59.27,5.45
Punjab,9,Jalandhar,2013,201.16,719.22,3575.36,3538.86,36.5,36.5,1.02
